epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1161.11,0.45256,0.48987,0.00424,0.96715,0.81384,0.85728,0.82609,0.26066,0.28699,0.00467,0.000617414,0.000617414,0.000617414
43,1188.1,0.45215,0.4785,0.00427,0.94463,0.89963,0.97718,0.93331,0.43688,0.331,0.0076,0.000607861,0.000607861,0.000607861
44,1214.07,0.43975,0.47196,0.00408,0.97654,0.90209,0.9679,0.94171,0.34874,0.20532,0.0059,0.00059818,0.00059818,0.00059818
45,1239.9,0.43917,0.47069,0.004,0.95695,0.94241,0.98258,0.94557,0.45685,0.24324,0.00768,0.000588377,0.000588377,0.000588377
46,1267,0.43951,0.42975,0.00401,0.96778,0.93934,0.97786,0.95014,0.22375,0.22462,0.00392,0.000578459,0.000578459,0.000578459
47,1294.19,0.43932,0.44673,0.00418,0.98118,0.92529,0.97872,0.94277,0.39358,0.47093,0.00673,0.000568433,0.000568433,0.000568433
48,1319.58,0.45247,0.4607,0.00418,0.83007,0.9851,0.92004,0.89214,0.2494,0.30437,0.0042,0.000558305,0.000558305,0.000558305
49,1346.25,0.43099,0.44568,0.00403,0.85663,0.96981,0.96853,0.93232,0.32092,0.2619,0.00546,0.000548084,0.000548084,0.000548084
50,1373.7,0.419,0.41465,0.00389,0.96526,0.93318,0.98311,0.94451,0.33264,0.23028,0.00568,0.000537774,0.000537774,0.000537774
51,1400.97,0.43849,0.43418,0.00397,0.97456,0.88916,0.96953,0.93458,0.3111,0.24984,0.00559,0.000527385,0.000527385,0.000527385
52,1428.05,0.41188,0.39808,0.00379,0.96523,0.9272,0.97758,0.94844,0.24215,0.22401,0.00411,0.000516923,0.000516923,0.000516923
53,1454.4,0.43189,0.40876,0.00407,0.97921,0.91324,0.9813,0.95012,0.26539,0.20285,0.00476,0.000506394,0.000506394,0.000506394
54,1481.54,0.42684,0.42975,0.00395,0.97321,0.91875,0.97513,0.94238,0.22173,0.23933,0.00395,0.000495807,0.000495807,0.000495807
55,1508.91,0.42198,0.4168,0.00384,0.98133,0.91371,0.97176,0.94705,0.37495,0.23022,0.00629,0.000485168,0.000485168,0.000485168
56,1536.48,0.39518,0.37922,0.00372,0.97378,0.90706,0.96853,0.94692,0.36919,0.26338,0.00603,0.000474486,0.000474486,0.000474486
57,1562.6,0.40672,0.40615,0.00374,0.96313,0.94905,0.96804,0.93936,0.30099,0.2192,0.00506,0.000463766,0.000463766,0.000463766
58,1589.54,0.41807,0.38195,0.0038,0.9547,0.92654,0.96674,0.94709,0.22259,0.20087,0.00408,0.000453016,0.000453016,0.000453016
59,1617.28,0.39361,0.38245,0.00359,0.96403,0.94273,0.96808,0.94043,0.24404,0.17222,0.00472,0.000442245,0.000442245,0.000442245
60,1644.65,0.41093,0.38391,0.00364,0.97002,0.9581,0.98646,0.96075,0.20949,0.12938,0.00392,0.000431459,0.000431459,0.000431459
61,1670.64,0.40091,0.37979,0.00363,0.98032,0.92536,0.96411,0.93857,0.29261,0.21685,0.00505,0.000420665,0.000420665,0.000420665
62,1696.35,0.38512,0.35951,0.00354,0.96964,0.91306,0.97217,0.9423,0.41285,0.2732,0.00689,0.000409871,0.000409871,0.000409871
63,1723.47,0.39015,0.36853,0.00356,0.9783,0.93863,0.97241,0.94371,0.24282,0.20186,0.00415,0.000399085,0.000399085,0.000399085
64,1751,0.39448,0.3516,0.00363,0.96535,0.93596,0.96759,0.95002,0.25368,0.16574,0.00433,0.000388314,0.000388314,0.000388314
65,1778.41,0.39224,0.34855,0.00348,0.95653,0.93051,0.96135,0.9447,0.22777,0.22176,0.00387,0.000377564,0.000377564,0.000377564
66,1803.88,0.39016,0.35853,0.00351,0.95729,0.94831,0.96792,0.94084,0.25355,0.17107,0.00441,0.000366844,0.000366844,0.000366844
67,1830.86,0.3963,0.3574,0.00357,0.9654,0.93008,0.96509,0.93958,0.25227,0.19974,0.00438,0.000356162,0.000356162,0.000356162
68,1858.4,0.38509,0.3544,0.00336,0.97312,0.91606,0.96146,0.94371,0.24235,0.19963,0.00425,0.000345523,0.000345523,0.000345523
69,1887.2,0.37953,0.33342,0.00333,0.9491,0.93193,0.9615,0.93829,0.3434,0.221,0.0059,0.000334936,0.000334936,0.000334936
70,1914.8,0.37919,0.32707,0.00343,0.96933,0.95777,0.97778,0.94427,0.36175,0.21133,0.00603,0.000324407,0.000324407,0.000324407
71,1939.91,0.37635,0.34151,0.00331,0.98002,0.92924,0.95596,0.92671,0.32537,0.24219,0.00554,0.000313945,0.000313945,0.000313945
72,1967.18,0.37958,0.35288,0.00341,0.97398,0.93269,0.95859,0.93935,0.27946,0.25359,0.00473,0.000303556,0.000303556,0.000303556
73,1994.17,0.36437,0.32637,0.00319,0.97318,0.92935,0.95969,0.94449,0.23948,0.2175,0.0042,0.000293246,0.000293246,0.000293246
74,2021.17,0.37467,0.32772,0.00332,0.97655,0.93895,0.95416,0.93769,0.26874,0.22604,0.00467,0.000283025,0.000283025,0.000283025
75,2046.91,0.36861,0.32985,0.00325,0.97497,0.93425,0.96588,0.9432,0.29428,0.23419,0.0049,0.000272897,0.000272897,0.000272897
76,2074.04,0.37011,0.3323,0.00319,0.96342,0.92835,0.96271,0.9336,0.33372,0.24739,0.00558,0.000262871,0.000262871,0.000262871
77,2101.12,0.36358,0.31726,0.00328,0.97266,0.9245,0.96419,0.93996,0.27107,0.20663,0.00469,0.000252953,0.000252953,0.000252953
78,2128.31,0.36277,0.31831,0.00318,0.96891,0.92149,0.95259,0.9306,0.28846,0.238,0.00485,0.00024315,0.00024315,0.00024315
79,2154.9,0.36444,0.31376,0.00322,0.97317,0.92681,0.96637,0.94239,0.27241,0.19745,0.00459,0.000233469,0.000233469,0.000233469
80,2181.6,0.34207,0.29038,0.00316,0.9703,0.92861,0.96633,0.94298,0.23706,0.20183,0.00416,0.000223916,0.000223916,0.000223916
81,2210.03,0.34671,0.30239,0.00311,0.96992,0.93998,0.96679,0.93894,0.25164,0.19533,0.00439,0.000214498,0.000214498,0.000214498
82,2237.82,0.35328,0.31391,0.00307,0.98008,0.92507,0.96825,0.93869,0.28048,0.20606,0.00466,0.000205221,0.000205221,0.000205221
83,2265.37,0.35731,0.30853,0.00309,0.97697,0.93857,0.96973,0.93896,0.25562,0.20438,0.00446,0.000196091,0.000196091,0.000196091
84,2291.98,0.34685,0.30049,0.00303,0.97651,0.92799,0.96488,0.94034,0.24002,0.16258,0.00446,0.000187116,0.000187116,0.000187116
85,2317.7,0.33497,0.28966,0.00293,0.97482,0.92497,0.9655,0.94108,0.25197,0.23574,0.0042,0.000178301,0.000178301,0.000178301
